detector,stream,learner,drift_type,params,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ADWIN,SEA,HoeffdingTree,ABRUPT,{'delta': 0.002},60,4,26,0.0625,0.13333333333333333,0.13333333333333333,0.0851063829787234,120.0,0.19997933546866822,0.21331129116657943,30,64
ADWIN,Agrawal,HoeffdingTree,ABRUPT,{'delta': 0.002},89,36,16,0.288,0.6923076923076923,0.4666666666666667,0.40677966101694907,-125.71428571428571,0.29663601427852454,0.4166236155597255,30,125
ADWIN,STAGGER,HoeffdingTree,ABRUPT,{'delta': 0.002},377,83,9,0.18043478260869567,0.9021739130434783,0.7,0.3007246376811594,-685.3333333333334,1.256536824528132,1.5331749052597898,30,460
ADWIN,SEA,HoeffdingTree,ABRUPT,{'delta': 0.005},63,2,28,0.03076923076923077,0.06666666666666667,0.06666666666666667,0.042105263157894736,336.0,0.20997830224210165,0.21664428009105724,30,65
ADWIN,Agrawal,HoeffdingTree,ABRUPT,{'delta': 0.005},90,34,16,0.27419354838709675,0.68,0.4666666666666667,0.39080459770114945,-217.14285714285714,0.29996900320300235,0.4132906266352477,30,124
ADWIN,STAGGER,HoeffdingTree,ABRUPT,{'delta': 0.005},384,76,10,0.16521739130434782,0.8837209302325582,0.6666666666666666,0.2783882783882784,-648.0,1.2798677469994766,1.5331749052597898,30,460
ADWIN,SEA,HoeffdingTree,ABRUPT,{'delta': 0.01},69,3,28,0.041666666666666664,0.0967741935483871,0.06666666666666667,0.05825242718446602,136.0,0.22997623578896847,0.23997520256240187,30,72
ADWIN,Agrawal,HoeffdingTree,ABRUPT,{'delta': 0.01},98,38,13,0.27941176470588236,0.7450980392156863,0.5666666666666667,0.4064171122994653,-88.0,0.32663291459882476,0.45328649372898133,30,136
ADWIN,STAGGER,HoeffdingTree,ABRUPT,{'delta': 0.01},385,83,8,0.17735042735042736,0.9120879120879121,0.7333333333333333,0.29695885509839004,-624.7272727272727,1.2832007359239546,1.5598388166556123,30,468
ADWIN,SEA,HoeffdingTree,ABRUPT,{'delta': 0.0005},54,3,27,0.05263157894736842,0.1,0.1,0.06896551724137931,-280.0,0.1799814019218014,0.18998036869523482,30,57
ADWIN,Agrawal,HoeffdingTree,ABRUPT,{'delta': 0.0005},82,29,17,0.26126126126126126,0.6304347826086957,0.43333333333333335,0.36942675159235666,-42.46153846153846,0.27330509180717993,0.3699617706170363,30,111
ADWIN,STAGGER,HoeffdingTree,ABRUPT,{'delta': 0.0005},350,86,7,0.19724770642201836,0.9247311827956989,0.7666666666666667,0.32514177693761814,-673.7391304347826,1.1665461235672314,1.4531831710723226,30,436
ADWIN,SEA,HoeffdingTree,ABRUPT,{'delta': 0.0001},50,1,29,0.0196078431372549,0.03333333333333333,0.03333333333333333,0.024691358024691357,808.0,0.1666494462238902,0.169982435148368,30,51
ADWIN,Agrawal,HoeffdingTree,ABRUPT,{'delta': 0.0001},83,30,18,0.26548672566371684,0.625,0.4,0.3726708074534162,-33.333333333333336,0.27663808073165774,0.37662774846599184,30,113
ADWIN,STAGGER,HoeffdingTree,ABRUPT,{'delta': 0.0001},342,84,6,0.19718309859154928,0.9333333333333333,0.8,0.3255813953488372,-660.6666666666666,1.139882212171409,1.4198532818275447,30,426
CUSUM,SEA,HoeffdingTree,ABRUPT,"{'min_n_instances': 100, 'lambda_': 500, 'delta': 0.001}",3,0,30,0.0,0.0,0.0,0.0,,0.00999896677343341,0.00999896677343341,30,3
CUSUM,Agrawal,HoeffdingTree,ABRUPT,"{'min_n_instances': 100, 'lambda_': 500, 'delta': 0.001}",5,1,29,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.05555555555555555,489.0,0.01666494462238902,0.01999793354686682,30,6
CUSUM,STAGGER,HoeffdingTree,ABRUPT,"{'min_n_instances': 100, 'lambda_': 500, 'delta': 0.001}",13,4,26,0.23529411764705882,0.13333333333333333,0.13333333333333333,0.1702127659574468,-427.5,0.04332885601821145,0.05666081171612267,30,17
CUSUM,SEA,HoeffdingTree,ABRUPT,"{'min_n_instances': 2000, 'lambda_': 1000, 'delta': 0.01}",0,0,30,0.0,0.0,0.0,0.0,,0.0,0.0,30,0
CUSUM,Agrawal,HoeffdingTree,ABRUPT,"{'min_n_instances': 2000, 'lambda_': 1000, 'delta': 0.01}",4,1,29,0.2,0.03333333333333333,0.03333333333333333,0.05714285714285715,-577.0,0.013331955697911214,0.01666494462238902,30,5
CUSUM,STAGGER,HoeffdingTree,ABRUPT,"{'min_n_instances': 2000, 'lambda_': 1000, 'delta': 0.01}",7,4,26,0.36363636363636365,0.13333333333333333,0.13333333333333333,0.1951219512195122,-477.25,0.023330922471344627,0.03666287816925584,30,11
